Agent_ID,Agent_Age,Agent_Rating,Rating_Category
1,37,4.9,Excellent
2,34,4.5,Excellent
3,23,4.4,Good
4,38,4.7,Excellent
5,32,4.6,Excellent
6,22,4.8,Excellent
7,33,4.7,Excellent
8,35,4.6,Excellent
9,36,4.2,Good
10,21,4.7,Excellent
11,23,4.7,Excellent
12,34,4.3,Good
13,24,4.7,Excellent
14,29,4.5,Excellent
15,35,4.0,Good
16,33,4.2,Good
17,34,4.9,Excellent
18,25,4.1,Good
19,31,4.7,Excellent
20,37,5.0,Excellent
21,33,4.3,Good
22,25,4.0,Good
23,27,5.0,Excellent
24,35,4.3,Good
25,32,4.0,Good
26,23,4.8,Excellent
27,31,4.8,Excellent
28,36,4.1,Good
29,26,4.3,Good
30,38,4.9,Excellent
31,32,3.5,Average
32,33,4.9,Excellent
33,20,4.7,Excellent
34,20,4.8,Excellent
35,35,5.0,Excellent
36,26,4.9,Excellent
37,37,4.7,Excellent
38,28,4.6,Excellent
39,23,4.9,Excellent
40,27,4.9,Excellent
41,37,4.8,Excellent
42,33,5.0,Excellent
43,31,4.9,Excellent
44,25,5.0,Excellent
45,28,4.8,Excellent
46,39,4.6,Excellent
47,39,4.2,Good
48,32,4.5,Excellent
49,36,4.7,Excellent
50,25,4.8,Excellent
51,30,4.4,Good
52,36,4.9,Excellent
53,21,4.8,Excellent
54,39,4.9,Excellent
55,35,4.8,Excellent
56,22,4.7,Excellent
57,24,4.8,Excellent
58,29,4.7,Excellent
59,26,4.7,Excellent
60,20,4.5,Excellent
61,35,4.1,Good
62,34,4.7,Excellent
63,27,4.7,Excellent
64,30,4.8,Excellent
65,25,4.4,Good
66,25,4.7,Excellent
67,30,5.0,Excellent
68,24,4.6,Excellent
69,39,4.8,Excellent
70,37,4.6,Excellent
71,24,5.0,Excellent
72,25,4.2,Good
73,36,4.8,Excellent
74,29,5.0,Excellent
75,36,4.4,Good
76,25,4.6,Excellent
77,24,4.3,Good
78,27,4.6,Excellent
79,21,4.3,Good
80,32,4.2,Good
81,39,4.7,Excellent
82,39,3.8,Average
83,20,4.9,Excellent
84,32,4.9,Excellent
85,22,4.5,Excellent
86,23,,Below Average
87,26,5.0,Excellent
88,31,4.6,Excellent
89,21,4.9,Excellent
90,24,4.9,Excellent
