Time_ID,Order_Date,Order_Year,Order_Month,Order_Day,Order_Weekday,Order_Quarter,Order_Time_Category,Season,Is_Weekend
1,2022-03-19,2022,3,19,Saturday,1,Night,Spring,True
2,2022-03-25,2022,3,25,Friday,1,Evening,Spring,False
3,2022-04-05,2022,4,5,Tuesday,2,Afternoon,Spring,False
4,2022-03-26,2022,3,26,Saturday,1,Evening,Spring,True
5,2022-03-11,2022,3,11,Friday,1,Evening,Spring,False
6,2022-03-04,2022,3,4,Friday,1,Night,Spring,False
7,2022-03-14,2022,3,14,Monday,1,Night,Spring,False
8,2022-03-20,2022,3,20,Sunday,1,Night,Spring,True
9,2022-02-12,2022,2,12,Saturday,1,Afternoon,Winter,True
10,2022-02-13,2022,2,13,Sunday,1,Evening,Winter,True
11,2022-02-14,2022,2,14,Monday,1,Evening,Winter,False
12,2022-04-02,2022,4,2,Saturday,2,Evening,Spring,True
13,2022-03-01,2022,3,1,Tuesday,1,Night,Spring,False
14,2022-03-16,2022,3,16,Wednesday,1,Evening,Spring,False
15,2022-02-15,2022,2,15,Tuesday,1,Morning,Winter,False
16,2022-03-10,2022,3,10,Thursday,1,Evening,Spring,False
17,2022-03-27,2022,3,27,Sunday,1,Afternoon,Spring,True
18,2022-03-12,2022,3,12,Saturday,1,Night,Spring,True
19,2022-04-01,2022,4,1,Friday,2,Evening,Spring,False
20,2022-03-05,2022,3,5,Saturday,1,Night,Spring,True
21,2022-02-11,2022,2,11,Friday,1,Evening,Winter,False
22,2022-03-08,2022,3,8,Tuesday,1,Afternoon,Spring,False
23,2022-04-03,2022,4,3,Sunday,2,Afternoon,Spring,True
24,2022-03-30,2022,3,30,Wednesday,1,Evening,Spring,False
25,2022-03-28,2022,3,28,Monday,1,Afternoon,Spring,False
26,2022-03-18,2022,3,18,Friday,1,Night,Spring,False
27,2022-04-04,2022,4,4,Monday,2,Morning,Spring,False
28,2022-03-24,2022,3,24,Thursday,1,Evening,Spring,False
29,2022-03-09,2022,3,9,Wednesday,1,Evening,Spring,False
30,2022-03-02,2022,3,2,Wednesday,1,Evening,Spring,False
31,2022-03-13,2022,3,13,Sunday,1,Evening,Spring,True
32,2022-03-29,2022,3,29,Tuesday,1,Evening,Spring,False
33,2022-03-31,2022,3,31,Thursday,1,Afternoon,Spring,False
34,2022-03-17,2022,3,17,Thursday,1,Evening,Spring,False
35,2022-03-07,2022,3,7,Monday,1,Morning,Spring,False
36,2022-03-15,2022,3,15,Tuesday,1,Night,Spring,False
37,2022-02-16,2022,2,16,Wednesday,1,Morning,Winter,False
38,2022-03-03,2022,3,3,Thursday,1,Night,Spring,False
39,2022-02-18,2022,2,18,Friday,1,Night,Winter,False
40,2022-03-23,2022,3,23,Wednesday,1,Evening,Spring,False
41,2022-02-17,2022,2,17,Thursday,1,Afternoon,Winter,False
42,2022-03-06,2022,3,6,Sunday,1,Evening,Spring,True
43,2022-03-21,2022,3,21,Monday,1,Evening,Spring,False
44,2022-04-06,2022,4,6,Wednesday,2,Evening,Spring,False
